sample_id,read_id,read_length,gc_content_pct,mean_quality
SAMPLE1_SE,fbb88f6f-8be9-46cd-9b52-5bc6a01cb38c,322,53.1056,25.9348
SAMPLE1_SE,14a027ec-07aa-48a5-833e-66642608cf85,181,42.5414,4.8895
SAMPLE1_SE,76e2ff19-42e6-4698-9fa2-dcd7d34f5aa9,302,57.947,19.947
SAMPLE1_SE,ff008d1a-f5d3-4451-a5b2-73707c5db6ad,296,50.3378,12.7804
SAMPLE1_SE,6dbac760-bbe3-4a6e-8b9b-35f136cb0bd8,169,42.6036,26.8402
SAMPLE1_SE,8bfa7419-c9bf-4ec1-a8f2-60d117d5fa66,199,48.7437,7.1156
SAMPLE1_SE,bdfd3aea-faee-4ab8-b114-b0be3e50acae,340,55.5882,13.4088
SAMPLE1_SE,d3cd72cf-e631-4f4c-af45-b9a5f656d403,233,50.6438,26.9485
SAMPLE1_SE,d0e7d5f6-7795-4dc9-a2aa-77f2077804ff,281,52.3132,26.0142
SAMPLE1_SE,6f8d7dd8-9fea-4dc4-9932-f991a44fbbaf,1472,55.6386,14.2541
SAMPLE1_SE,8a7b55f5-595c-4503-a6f8-b72823eff397,872,59.0596,26.6112
SAMPLE1_SE,7c129381-be6f-4c5a-9f0b-73ac00bad35f,2190,56.3014,25.4721
SAMPLE1_SE,df8f0a9b-0600-44e0-8d94-92a1ad4cb2af,422,42.654,8.2962
SAMPLE1_SE,5b12bfec-7a02-47b2-b6fc-3be97546294b,671,61.997,31.0775
SAMPLE1_SE,c1d4fde5-6463-46c6-9b44-299664465a0a,218,58.7156,7.5963
SAMPLE1_SE,e8f91368-4858-4a27-83a0-f96fd72f164d,164,37.8049,14.1341
SAMPLE1_SE,a1d1ca70-7085-470d-a53a-ebc9805bb3fd,216,58.7963,15.8611
SAMPLE1_SE,c1b89212-3261-42f4-b57f-25c833a07c1f,247,48.583,24.4858
SAMPLE1_SE,28e4d0be-a615-4e02-aa36-4512ed6555e4,257,56.8093,15.5019
SAMPLE1_SE,8a009da9-f98d-4eda-bf41-662fea368cc1,336,60.7143,34.5417
SAMPLE1_SE,57ca2ca5-7de1-4dfa-9f61-bb05b121dcad,230,57.3913,15.9652
SAMPLE1_SE,e5c87de2-4ad3-4361-a196-4154ba511f69,340,50.8824,17.6765
SAMPLE1_SE,3e0d8606-8a08-4a03-aec4-cbd88e8e8c67,320,53.4375,7.4
SAMPLE1_SE,f9445a70-c3f1-4c42-8684-ae46845fbedc,433,51.5012,25.4042
SAMPLE1_SE,52515dc1-0f97-4727-80bf-834d7812b44f,186,50.0,28.2097
SAMPLE1_SE,3a270714-b7f2-4920-804a-c0605d214b48,635,63.4646,19.8236
SAMPLE1_SE,d5e2fc73-4b92-4629-b6a4-4c9d4f400cc8,1332,51.2763,22.1104
SAMPLE1_SE,cdb53283-2f68-4915-ba3a-40632be2b76a,582,53.4364,9.5945
SAMPLE1_SE,18e6a127-1112-4e83-8469-40c68e516acd,743,65.8143,23.79
SAMPLE1_SE,252213f1-9705-4a35-a5e7-18930331eb02,610,53.2787,7.9574
SAMPLE1_SE,b6794752-f9f2-4f09-bbbe-208dc2c62614,2772,54.0765,7.074
SAMPLE1_SE,9d1f62a8-23ab-4890-903f-91bba4d2a489,702,52.4217,6.7108
SAMPLE1_SE,72470490-412b-4f54-b584-9afe8c2fbaf7,567,48.5009,11.843
SAMPLE1_SE,a000cd2e-fd1a-4115-b1e3-3f65fd1baba9,275,50.1818,13.2836
SAMPLE1_SE,328ba605-84d5-48bf-9471-6868f1a22e94,803,45.9527,7.7273
SAMPLE1_SE,ed8d7c37-291e-4222-a1c4-977bce33053d,537,57.3557,30.0819
SAMPLE1_SE,9594437b-82dc-4b41-a852-ae5c0a79d6ea,899,46.8298,13.4783
SAMPLE1_SE,4f31f37d-4ab2-4c0d-8b75-92dd6610ad78,1370,60.219,28.2818
SAMPLE1_SE,d1c6731f-b5ee-4bf6-b773-122cf14f161c,4467,59.3687,20.165
SAMPLE1_SE,801f3de5-1dd9-4ea4-8ace-9193796ec99a,797,53.7014,26.2321
SAMPLE1_SE,6803a38f-c2db-4fa9-842e-8595758224bb,477,54.717,28.6289
SAMPLE1_SE,f5acf9a4-2726-4399-ba47-4c1b409050af,845,56.8047,9.9858
SAMPLE1_SE,12dfb517-31c2-4101-a079-df7f1e71e5d3,658,53.0395,7.3906
SAMPLE1_SE,c6239725-91c3-49e6-8ab9-aaaf2fbaa5f5,534,51.4981,32.6498
SAMPLE1_SE,6f006033-71dd-46e8-b2bd-d209773aeea1,1232,55.6818,9.0106
SAMPLE1_SE,dd555420-94e2-48cd-a2c3-b93d75bcd285,337,46.5875,5.7656
SAMPLE1_SE,1bd23283-8974-4633-bd84-bc2f5724790d,874,55.7208,10.3421
SAMPLE1_SE,1519ac86-e6ec-475c-a1a0-c4409ae35917,453,53.4216,10.4349
SAMPLE1_SE,75b0b6f9-0519-44c7-a7f1-8a6658de489f,431,55.6845,6.3619
SAMPLE1_SE,dcef55e6-1b6a-48e8-abf5-c01fe757a22e,447,46.3087,21.7964
SAMPLE1_SE,06edebe3-d1fb-4f8e-8634-087638e5630f,648,43.6728,6.3904
SAMPLE1_SE,4cd149c6-ea29-4c78-ade2-5ba1958ca78b,675,65.4815,17.2267
SAMPLE1_SE,1e118d9c-d4ae-4bfa-a6c4-4e03f2f7a8d2,1113,45.5526,7.3252
SAMPLE1_SE,f2b01844-0d21-4426-abd4-bd01afad4c5f,1488,49.5968,30.8495
SAMPLE1_SE,c62543e7-656f-4093-b190-43622c922aea,807,53.9033,11.855
SAMPLE1_SE,3e04fdef-9bfa-4507-9514-2f60c0eb7a86,178,53.9326,23.4213
SAMPLE1_SE,a4ae24b2-dd0d-478b-b8e5-7d1258db1b8c,188,47.3404,21.1809
SAMPLE1_SE,859a55d3-2e1d-41e7-affd-c0372429e3f2,193,50.7772,20.9585
SAMPLE1_SE,af3fe3bd-3e6a-4b0a-a859-08cd0a738547,198,51.5152,22.4798
SAMPLE1_SE,6bb00407-2b0f-4d93-a682-b38ef94818d0,257,42.4125,10.3852
SAMPLE1_SE,7a0622a9-5566-407e-b11e-29be4cbcf636,241,35.2697,34.9959
SAMPLE1_SE,fc80882d-13e6-402e-a433-c7dcd1599dc8,251,44.6215,7.7769
SAMPLE1_SE,9e57adf2-bc52-42dc-b773-fea0ff605a95,226,55.7522,10.0354
SAMPLE1_SE,cd8c75cd-39d3-40c6-b814-5bb4efcdd75f,362,41.4365,6.0718
SAMPLE1_SE,ace5d729-ffb0-43ab-bc78-2897abdc1660,284,46.831,25.2183
SAMPLE1_SE,58023f54-145b-485a-a4f4-40a97ac45859,325,55.3846,27.5138
SAMPLE1_SE,e38ed8e6-7bb9-4921-9347-44aa6ec924a0,222,54.0541,24.8243
SAMPLE1_SE,d5fcd3a4-663d-4bc1-9358-939e211105d7,308,47.0779,8.2338
SAMPLE1_SE,d7ad81a4-280a-4236-b331-f8d51d5eb1b0,262,45.4198,15.4771
SAMPLE1_SE,5189fcbe-dc9d-4e43-802c-e00e91af87d5,185,42.7027,5.9568
SAMPLE1_SE,7d771211-fd15-49ca-b3f6-31ca582d18da,395,53.6709,17.1797
SAMPLE1_SE,6c71feaf-a9cb-45ea-9e4d-ece47738bed4,226,54.4248,15.2478
SAMPLE1_SE,ce4782e4-8f24-41c2-82cf-382e99021d3c,300,48.0,21.8933
SAMPLE1_SE,d755a614-c3fa-477b-8a3f-d45c84b5c790,350,58.0,26.7629
SAMPLE1_SE,6a8e6226-1668-4556-b4f6-25a7823c0e93,763,57.9292,24.0157
SAMPLE1_SE,9677303c-f593-4368-b55e-ffae77c0cc43,1242,55.6361,30.7214
SAMPLE1_SE,6df764a9-9685-4a32-a938-4dd2fc42d82a,3573,60.3135,19.5273
SAMPLE1_SE,acfdfcdd-d19b-4066-b5aa-6dd8a6e4f397,997,55.7673,9.2367
SAMPLE1_SE,0659d035-25c9-45d5-8059-51e129d3e057,541,55.268,25.7227
SAMPLE1_SE,94a69f0b-1b0d-48ad-b761-f8e4910af523,1475,54.1695,11.1146
SAMPLE1_SE,e24cd3a7-ccd6-414d-b3fb-c46e4f1ac93f,677,50.2216,6.4121
SAMPLE1_SE,83584c2c-9932-4798-81d6-e8f6ad1f224c,330,61.8182,25.2394
SAMPLE1_SE,0257ae40-6c3c-4157-9094-0fe9644ea910,1762,58.7968,11.8212
SAMPLE1_SE,44910b9b-69a6-4c22-973e-93b14a687d6f,1068,67.2285,30.8755
SAMPLE1_SE,e9503a53-b06f-4e9d-8bb0-3a7d7a119c9f,2378,56.434,11.6156
SAMPLE1_SE,057dd350-61be-410b-8b2d-836e9613019c,760,53.5526,9.9605
SAMPLE1_SE,3e5e45ad-28ea-48b0-b6b3-8ee36d66f16f,1236,45.3883,16.682
SAMPLE1_SE,71a23f3b-0ebc-4c76-995d-dfc26393a469,1514,53.6988,10.7662
SAMPLE1_SE,009a06b6-c93e-4fb0-8aa8-2012e40b62a1,1446,52.9046,9.7317
SAMPLE1_SE,ea38c6ae-8b54-4bb9-ba81-d8a1af146591,1837,54.8721,22.8672
SAMPLE1_SE,918135a2-5d50-4291-8049-647e85fae5a1,730,58.3562,27.2027
SAMPLE1_SE,6e31f518-1533-4569-b29c-10122a553630,847,61.6293,32.4109
SAMPLE1_SE,a059d360-05e3-4556-b154-083dee0fe1da,953,50.787,27.7282
SAMPLE1_SE,cc20b758-c120-4cb6-a415-5c6f9b8dd74a,1362,50.2203,10.6843
SAMPLE1_SE,afd00ce4-f737-482b-9ce6-e2ce9196bf12,488,66.8033,26.8197
SAMPLE1_SE,8d76bfdc-a2e4-453e-baaf-dd730939a1db,395,52.6582,14.2987
SAMPLE1_SE,d582d9e8-6d5d-480b-a676-876ee231bf31,613,46.0033,28.7357
SAMPLE1_SE,fdb0edef-6352-4a90-acbd-e4976d228b49,373,64.3432,22.118
SAMPLE1_SE,33352073-7acb-445b-b8e7-0f2fc9446786,10273,68.2955,23.0246
SAMPLE1_SE,22db93f5-24b0-422f-b2ff-72fcb6df14ec,1888,50.3708,6.446
SAMPLE1_SE,1822aae5-6dc7-475e-8d52-f23c3674ede0,769,65.2796,31.4655
SAMPLE1_SE,9a57c7cf-a0fc-4bb3-bc68-c607ef08a1e7,269,47.5836,10.5502
SAMPLE1_SE,03993c64-890b-4e2c-828b-6f7a9daa6024,196,40.8163,22.8265
SAMPLE1_SE,6313197a-e4da-4e4b-b824-2b1cb330b463,442,58.1448,11.0136
SAMPLE1_SE,c65202b0-a04f-4a8c-84f6-99706d7325a4,230,51.7391,11.3217
SAMPLE1_SE,3d889833-4eb7-43df-9c49-4e358d5cc3bb,239,51.046,25.272
SAMPLE1_SE,24cdada5-c1a9-4801-b539-26acdb219af8,266,48.1203,7.9023
SAMPLE1_SE,dbb9d779-8130-4dfd-bfa3-c87bb288f1e9,292,38.3562,6.9281
SAMPLE1_SE,f91272f7-2767-42ba-adf9-70389c3c5d87,267,53.9326,20.97
SAMPLE1_SE,2b9c7036-1ae8-49ac-9b81-3cc385733b45,241,48.5477,26.7261
SAMPLE1_SE,0a2a5386-02ae-49ac-82ce-8db55effc7c2,280,57.8571,13.7536
SAMPLE1_SE,9100de58-3d9e-4a53-9170-75f434e0eb9f,259,46.332,8.5097
SAMPLE1_SE,9da622ec-c002-437a-be4e-7ba254d98de1,178,41.573,19.2191
SAMPLE1_SE,4cbe1356-625e-48e3-bc82-07cac5c60aac,410,53.6585,12.9878
SAMPLE1_SE,55c53ddd-5a6e-4239-9c08-678273cd9aa2,301,48.8372,10.794
SAMPLE1_SE,74a754af-7735-42c7-bb46-b97d7f687bdc,364,57.967,24.2775
SAMPLE1_SE,75929cff-fda1-4522-80be-d5a00b6ac0eb,416,60.3365,28.4231
SAMPLE1_SE,657768e5-3efc-4002-84bb-07e80f6e2cf7,2115,51.3948,28.1508
SAMPLE1_SE,774d6451-c492-44c6-bb2c-b85ddb5f9f3e,636,53.3019,19.9701
SAMPLE1_SE,da3c02ff-a613-473d-8e2e-adf592e16419,702,51.7094,29.0014
SAMPLE1_SE,8218259c-ab1d-448a-a9b7-36b967722de9,443,50.7901,8.2212
SAMPLE1_SE,055c31fa-1fe5-4862-9703-8cd3d2ca7187,2527,52.8294,29.6715
SAMPLE1_SE,de5b1250-e417-4569-a981-8954c8904b90,613,58.8907,12.7276
SAMPLE1_SE,126bdf73-3de4-4241-bb20-d9c92757c27b,911,53.0187,6.7014
SAMPLE1_SE,684d04a5-c282-4e52-acee-2f45e23996db,1745,55.4728,10.8069
SAMPLE1_SE,10bdcb59-14d4-470b-83ca-5014ffa2d417,2465,45.355,15.0519
SAMPLE1_SE,1e38f8c2-afab-40eb-8e52-c75a2953af74,769,44.0832,6.8882
SAMPLE1_SE,b3c4f1ba-7a4a-466e-8d91-c2ac98472b71,257,60.3113,11.8833
SAMPLE1_SE,e46ead2e-e813-4525-b18a-1831a3250362,196,54.5918,21.6378
SAMPLE1_SE,6a93147c-9ecb-40fb-9ba5-b0427b3ab8be,356,59.2697,25.868
SAMPLE1_SE,deccc5a3-42c7-4ee8-8fa4-07d9e011d034,662,34.139,9.3973
SAMPLE1_SE,e954e3c6-1437-4971-b423-4b1ac55c6fc8,445,53.9326,16.818
SAMPLE1_SE,832ca3e3-5cca-4619-8647-76689a2cb5eb,1037,66.2488,29.1562
SAMPLE1_SE,e5fb2f5b-e026-4402-b395-710a5e5f0797,671,42.0268,19.4173
SAMPLE1_SE,4f3bbf1e-3217-4b5b-b129-43a98e47df04,753,51.66,23.8752
SAMPLE1_SE,43aa60b6-c766-48c9-8860-bbc4100b47c8,707,53.041,15.2857
SAMPLE1_SE,69c1d56f-1bd3-4f93-926e-d824b0ba1340,3525,52.3404,29.0772
SAMPLE1_SE,b188578a-2e92-4438-a8b5-f727d161aa9c,860,50.9302,22.336
SAMPLE1_SE,17efc3f3-3396-415a-8200-a072f569af30,490,46.7347,10.5367
SAMPLE1_SE,d4997b46-b62d-4c03-9c36-4a8b84d02c36,498,59.8394,27.3273
SAMPLE1_SE,1e49b580-f61d-4bf4-8cac-7e218dbeaf1d,795,60.7547,13.5799
SAMPLE1_SE,4a95eea3-e02a-4602-bcf7-198d3b7777cb,875,53.3714,20.5806
SAMPLE1_SE,ed0bee45-21bc-469a-bb8e-3c8a59a89fde,1131,52.2546,10.7772
SAMPLE1_SE,ca76e854-0590-44ed-aeb8-857b5fd24030,966,54.9689,24.1377
SAMPLE1_SE,d0148e64-1b5a-41d8-a430-0f9c427d3368,573,50.0873,30.2723
SAMPLE1_SE,7fcb0fff-9574-4f08-a445-fef33a15b0b6,1682,57.0155,16.9899
SAMPLE1_SE,cbae3b09-ef65-4f42-91ea-4d5f4a5f4bb8,234,47.8632,23.3718
SAMPLE1_SE,4a3b27de-f5c8-40d0-9822-f97590e68a10,276,55.0725,20.1014
SAMPLE1_SE,ad0ca589-567b-478c-9d23-b7b4eb21aa96,180,58.3333,28.0167
SAMPLE1_SE,9009985c-35fe-4560-ae65-48b72254558c,362,63.8122,19.6188
SAMPLE1_SE,3b370b69-9aa3-418c-ac05-aca6fa2caf5c,303,47.8548,10.0363
SAMPLE1_SE,f5bbac13-cbfa-41d9-a60a-296a95eced80,568,54.0493,18.0387
SAMPLE1_SE,c2f9ef9b-4e28-4f76-9444-f570eb630912,2023,49.7776,6.1176
SAMPLE1_SE,31eae902-e5e8-4e71-b2f0-99806ac8a6e1,637,58.5557,10.9403
SAMPLE1_SE,7f020094-9c6b-4c4c-9cf9-36686bdcfc6f,1376,59.0843,22.617
SAMPLE1_SE,706f5efb-5d6c-4a55-a9ad-d8a553bd04fb,184,51.087,23.2989
SAMPLE1_SE,4d5adbab-bfbe-42d7-a2e9-a0719a39efd7,254,53.5433,29.0709
SAMPLE1_SE,599f11be-f56e-4bd0-a909-770ce0c30d2a,235,41.7021,7.166
SAMPLE1_SE,b869a99e-3e77-4045-aa66-e22a21f92a96,434,47.235,20.7949
SAMPLE1_SE,049686b5-c3be-423a-a8b7-5d379259292f,298,63.4228,23.2013
SAMPLE1_SE,a7925af1-d149-48b7-82ff-0299573e01af,466,47.4249,15.4485
SAMPLE1_SE,55d636f6-a705-4d75-aabc-5310ba1ac930,927,50.8091,23.6548
SAMPLE1_SE,42cd72e1-271d-4f64-8ff3-29f6e4f600f2,570,53.8596,33.4228
SAMPLE1_SE,883d8952-9932-4bd7-bbd9-ed7ba357ca62,384,55.4688,24.3698
SAMPLE1_SE,ec4ea46c-8fc7-4125-ad0e-8a972b35ca86,3435,46.6084,25.5898
SAMPLE1_SE,e65c4d27-c366-4130-8596-6dadf7f7fb4a,975,58.4615,17.7856
SAMPLE1_SE,0a539b5c-f9e9-4010-ab71-f3880054d8c1,1250,53.68,23.8088
SAMPLE1_SE,117c4ee0-9dee-44b4-b955-b67bcc86aa2a,2230,44.8879,27.4283
SAMPLE1_SE,0503a909-1769-4869-8090-b673ceabb1f7,1360,57.7206,13.6132
SAMPLE1_SE,417b0a91-c85e-4545-b1f9-4a717cef86fb,1442,60.1942,26.7129
SAMPLE1_SE,55e3aaff-eab0-4a7b-b161-45c7f5a8a9cd,565,65.4867,21.4354
SAMPLE1_SE,c60286b4-34c9-40f7-9fdc-771c8aeef50a,639,50.0782,25.0391
SAMPLE1_SE,df48a657-2fc8-454a-9de1-c90cb0fd8f82,1584,29.5455,13.4249
SAMPLE1_SE,28056dcb-7ab0-4ad3-aee6-1c78ceac4422,907,45.5347,6.1621
SAMPLE1_SE,7eb5afbe-8ca0-4a1b-ab06-6f38904d0710,2632,54.5973,21.8537
SAMPLE1_SE,d0d8cdac-97f2-4025-8699-e7631a2ffe5d,1007,62.2642,20.9553
SAMPLE1_SE,6cdf387b-1655-4ac7-b07d-a35d03057b96,506,60.4743,11.587
SAMPLE1_SE,c2b54c1f-e0e1-4dcc-a2b7-34cdca54777d,1489,63.0625,26.6535
SAMPLE1_SE,14a48d84-f00f-4db0-a038-6668d2330599,1242,57.971,13.4412
SAMPLE1_SE,bc43835d-5756-45d6-9c23-310d60e732dc,375,56.0,16.752
SAMPLE1_SE,d782d346-5b9e-4e8d-ba40-b5904f5bdb86,299,53.5117,5.9967
SAMPLE1_SE,1c1adc86-6a5a-4e4f-9214-5f9a92622086,287,50.5226,21.0139
SAMPLE1_SE,bfb389fa-d966-4e6f-a77a-02135fdc1cdc,347,53.3141,10.0
SAMPLE1_SE,7a95e204-93c0-4753-b0b7-39fab540fd22,241,50.2075,22.195
SAMPLE1_SE,7a1980ce-220c-4b01-910e-ea9ea6240a90,254,55.5118,29.6378
SAMPLE1_SE,14e5aa51-46a1-49b3-a2cd-fd08c1b27473,340,52.6471,31.2118
SAMPLE1_SE,cd65c261-8dda-4e93-bf0e-fc952d5bcac3,249,45.7831,26.6225
SAMPLE1_SE,3266a3f7-3713-4006-bf89-063f287dac09,423,67.3759,25.4563
SAMPLE1_SE,ff02dbeb-1cb8-459d-9371-1ab0cba80e66,356,58.1461,21.6798
SAMPLE1_SE,fd632b6e-fa59-436e-827c-609460fab8e7,454,44.9339,10.6278
SAMPLE1_SE,fb909885-60fe-459c-a262-a89df1fc4f62,213,55.3991,22.216
SAMPLE1_SE,ad823c53-e5ae-449c-8712-21470558ad34,187,43.3155,23.2567
SAMPLE1_SE,e0971965-c07f-494a-a62c-b3ec477633b1,111,46.8468,23.2252
SAMPLE1_SE,9fd5e9ab-ae20-417b-ad5b-5158f4b671d1,228,55.2632,21.8947
SAMPLE1_SE,ef073e4e-d1d5-4161-b6cb-bc82724643c6,292,47.9452,23.0616
SAMPLE1_SE,446db535-a0a0-49b8-ab69-faab2af4073b,477,53.6688,19.1761
SAMPLE1_SE,82dbbacb-8140-4c63-af8e-16d748d02140,300,60.0,10.4833
SAMPLE1_SE,f6e1a36f-0600-4682-99cb-5debd4892fcd,541,56.3771,7.4935
SAMPLE1_SE,4a25ce98-be5b-4c53-9281-9f582e6fd22b,5211,57.8968,25.0526
SAMPLE1_SE,8de58eee-a9c8-437f-82b0-ba93e3ab4971,2759,58.5357,13.6314
SAMPLE1_SE,0189915b-a189-43ee-935e-213580d7913c,1283,55.9626,25.1044
SAMPLE1_SE,477a48e2-95f1-42d6-b353-fe97345c4f5e,794,51.0076,17.7355
SAMPLE1_SE,e64896fa-b1c9-4aaf-94b9-2301da182f92,289,49.481,5.2803
SAMPLE1_SE,cdea0606-4b22-46f3-b3f0-0668bbb51870,288,53.4722,9.4688
SAMPLE1_SE,dd83a135-5b32-407a-b6c1-57cda09cbb94,596,42.6174,6.8674
SAMPLE1_SE,a48ad6a5-7c62-4d2e-8ec9-ba58497fc555,760,45.0,23.5118
SAMPLE1_SE,814a6754-d222-49e1-ad50-6a9c09431a2d,1012,51.087,13.7115
SAMPLE1_SE,3be4d887-366f-4bba-9110-d7c48989ea57,557,54.5781,10.2316
SAMPLE1_SE,41ab9e52-aab1-4a62-8783-5508ff2c3fd3,395,64.0506,28.8911
SAMPLE1_SE,0e60a6cd-3c07-49e6-9696-ff892e5e87c5,391,49.8721,9.3171
SAMPLE1_SE,d05d14b5-2fa8-4345-b29b-85243233324e,1774,69.1094,14.5293
SAMPLE1_SE,0f878bbb-c770-4f32-aec5-f63833e3e4e2,358,43.0168,29.6536
SAMPLE1_SE,a1d3b64a-34d8-4af4-a981-d554b3fc2424,1659,63.1706,26.1224
SAMPLE1_SE,effd827f-8b7a-4e9c-ae92-9e180f8d76a2,1756,57.8588,31.5564
